b'id',b'key',b'value',b'type'
b'288570883',b'name',b'HypoVereinsbank',b'addr'
b'288570883',b'operator',b'HypoVereinsbank',b'addr'
b'288570883',b'wheelchair',b'limited',b'addr'
b'289361133',b'barrier',b'gate',b'regular'
b'289361133',b'bicycle',b'yes',b'regular'
b'289361133',b'foot',b'yes',b'regular'
b'289380741',b'barrier',b'gate',b'regular'
b'292279446',b'highway',b'turning_circle',b'regular'
b'292282411',b'highway',b'turning_circle',b'regular'
b'292283727',b'highway',b'turning_circle',b'regular'
b'292676812',b'highway',b'turning_circle',b'regular'
b'292677533',b'highway',b'turning_circle',b'regular'
b'293588466',b'highway',b'turning_circle',b'regular'
b'293598654',b'is_in',"b'Gl\xc3\xbccksburg,Schleswig-Flensburg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe'",b'regular'
b'293598654',b'name',b'Ulstrupfeld',b'regular'
b'293598654',b'place',b'neighbourhood',b'regular'
b'295327257',b'highway',b'turning_circle',b'regular'
b'295655240',b'barrier',b'gate',b'regular'
b'297238445',b'highway',b'turning_circle',b'regular'
b'302412515',b'alt_name',b'Ulstrupfeld',b'regular'
b'302412515',b'name',b'Gl\xc3\xbccksburg',b'regular'
b'302412515',b'traffic_sign',b'city_limit',b'regular'
b'311097075',b'city',b'Flensburg',b'addr'
b'311097075',b'country',b'DE',b'addr'
b'311097075',b'housenumber',b'14',b'addr'
b'311097075',b'postcode',b'24937',b'addr'
b'311097075',b'street',b'S\xc3\xbcderhofenden',b'addr'
b'311097075',b'amenity',b'cinema',b'addr'
b'311097075',b'name',b'UCI Kinowelt',b'addr'
b'311097075',b'wheelchair',b'yes',b'toilets'
b'311097075',b'wheelchair',b'yes',b'toilets'
b'312769408',b'amenity',b'bench',b'regular'
b'312769408',b'created_by',b'Potlatch 0.10f',b'regular'
b'313356661',b'highway',b'bus_stop',b'regular'
b'313356661',b'name',b'Kiefernweg',b'regular'
b'313356661',b'ref',"b'10,11'",b'regular'
b'313356661',b'wheelchair',b'yes',b'regular'
b'313360438',b'bench',b'yes',b'regular'
b'313360438',b'highway',b'bus_stop',b'regular'
b'313360438',b'name',b'Tannenweg',b'regular'
b'313360438',b'public_transport',b'platform',b'regular'
b'313360438',b'shelter',b'yes',b'regular'
b'313360438',b'wheelchair',b'yes',b'regular'
b'317168150',b'barrier',b'bollard',b'regular'
b'317168150',b'bicycle',b'yes',b'regular'
b'317168150',b'foot',b'yes',b'regular'
b'317168721',b'barrier',b'bollard',b'regular'
b'317168721',b'bicycle',b'yes',b'regular'
b'317168721',b'foot',b'yes',b'regular'
b'317177799',b'highway',b'turning_circle',b'regular'
b'320255409',b'highway',b'turning_circle',b'regular'
b'320273413',b'barrier',b'bollard',b'regular'
b'320273413',b'bicycle',b'yes',b'regular'
b'320273413',b'foot',b'yes',b'regular'
b'321346388',b'is_in',"b'Flensburg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe'",b'regular'
b'321346388',b'name',b'Westliche H\xc3\xb6he',b'regular'
b'321346388',b'place',b'suburb',b'regular'
b'323390062',b'boundary',b'marker',b'regular'
b'323390062',b'inscription',b'D DRP',b'regular'
b'323390062',b'marker',b'stone',b'regular'
b'323390062',b'name',b'64',b'regular'
b'323390062',b'source',b'Geodatastyrelsen : SNSOR',b'regular'
b'323446096',b'boundary',b'marker',b'regular'
b'323446096',b'inscription',b'D DRP',b'regular'
b'323446096',b'marker',b'stone',b'regular'
b'323446096',b'name',b'3',b'regular'
b'323446096',b'source',b'Geodatastyrelsen : SNSOR',b'regular'
b'323481001',b'boundary',b'marker',b'regular'
b'323481001',b'inscription',b'D DRP',b'regular'
b'323481001',b'marker',b'stone',b'regular'
b'323481001',b'name',b'34',b'regular'
b'323481001',b'source',b'Geodatastyrelsen : SNSOR',b'regular'
b'323680871',b'boundary',b'marker',b'regular'
b'323680871',b'inscription',b'D DRP',b'regular'
b'323680871',b'marker',b'stone',b'regular'
b'323680871',b'name',b'43',b'regular'
b'323680871',b'source',b'Geodatastyrelsen : SNSOR',b'regular'
b'323797703',b'boundary',b'marker',b'regular'
b'323797703',b'inscription',b'D DRP',b'regular'
b'323797703',b'marker',b'stone',b'regular'
b'323797703',b'name',b'48',b'regular'
b'323797703',b'source',b'Geodatastyrelsen : SNSOR',b'regular'
b'324332495',b'barrier',b'gate',b'regular'
b'324332495',b'bicycle',b'yes',b'regular'
b'324332495',b'foot',b'yes',b'regular'
b'325079869',b'highway',b'turning_circle',b'regular'
b'325719115',b'highway',b'turning_circle',b'regular'
b'330924406',b'highway',b'turning_circle',b'regular'
b'332564595',b'highway',b'turning_circle',b'regular'
b'332571129',b'highway',b'turning_circle',b'regular'
b'335934899',b'city',b'Flensburg',b'addr'
b'335934899',b'country',b'DE',b'addr'
b'335934899',b'housenumber',b'10',b'addr'
b'335934899',b'postcode',b'24937',b'addr'
b'335934899',b'street',b'Nikolaistra\xc3\x9fe',b'addr'
b'335934899',b'amenity',b'restaurant',b'addr'
b'335934899',b'cuisine',b'italian',b'addr'
b'335934899',b'name',b'Buona Sera',b'addr'
b'335934899',b'phone',b'+49 461 22458',b'addr'
b'335934899',b'wheelchair',b'no',b'addr'
b'342882174',b'barrier',b'cycle_barrier',b'regular'
b'342882174',b'foot',b'yes',b'regular'
b'356312180',b'city',b'Flensburg',b'addr'
b'356312180',b'country',b'DE',b'addr'
b'356312180',b'housenumber',b'45',b'addr'
b'356312180',b'postcode',b'24943',b'addr'
b'356312180',b'street',b'Taruper Hauptstra\xc3\x9fe',b'addr'
b'356312180',b'amenity',b'veterinary',b'addr'
b'356312180',b'name',b'Wolf Jansen',b'addr'
b'366909959',b'bus',b'yes',b'regular'
b'366909959',b'highway',b'bus_stop',b'regular'
b'366909959',b'name',b'M\xc3\xbchlendamm',b'regular'
b'366909959',b'note',b'Linien 5',b'regular'
b'366909959',b'public_transport',b'platform',b'regular'
b'366909959',b'wheelchair',b'yes',b'regular'
b'372589533',b'is_in',"b'Maasb\xc3\xbcll,Schleswig-Flensburg,Schleswig-Holstein,Bundesrepublik Deutschland,Europe'",b'regular'
b'372589533',b'name',b'R\xc3\xbcllschau',b'regular'
b'372589533',b'place',b'village',b'regular'
b'380192124',b'barrier',b'gate',b'regular'
b'380454138',b'city',b'Flensburg',b'addr'
b'380454138',b'country',b'DE',b'addr'
b'380454138',b'housenumber',b'74',b'addr'
b'380454138',b'postcode',b'24943',b'addr'
b'380454138',b'street',b'Taruper Hauptstra\xc3\x9fe',b'addr'
b'380454138',b'suburb',b'Tarup',b'addr'
b'380454138',b'email',b'Fahrrad@Zweirad-Braack.de',b'addr'
b'380454138',b'name',b'Zweirad Braack',b'addr'
b'380454138',b'opening_hours',"b'Mo-Fr 08:30-12:00, 13:30-18:00; Sa 09:00-13:00'",b'addr'
b'380454138',b'phone',b'+49 461 61846',b'addr'
b'380454138',b'shop',b'bicycle',b'addr'
b'380454138',b'website',b'www.zweirad-braack.de',b'addr'
b'380454138',b'wheelchair',b'limited',b'addr'
b'383683689',b'city',b'Flensburg',b'addr'
b'383683689',b'country',b'DE',b'addr'
b'383683689',b'housenumber',b'258',b'addr'
b'383683689',b'postcode',b'24941',b'addr'
b'383683689',b'street',b'Alter Husumer Weg',b'addr'
b'383683689',b'name',b'Klosterb\xc3\xa4ckerei',b'addr'
b'383683689',b'opening_hours',"b'Mo-Fr 06:30-18:30,Sa 06:30-14:00,Su 08:00-11:00;PH 08:00-11:00'",b'addr'
b'383683689',b'phone',b'+49 461 9091514',b'addr'
b'383683689',b'shop',b'bakery',b'addr'
b'383683689',b'website',b'www.klosterbaeckerei.eu',b'addr'
b'383683689',b'wheelchair',b'yes',b'addr'
b'383748974',b'highway',b'turning_circle',b'regular'
b'385969194',b'highway',b'bus_stop',b'regular'
b'387734667',b'barrier',b'gate',b'regular'
b'387734667',b'bicycle',b'yes',b'regular'
b'387734667',b'foot',b'yes',b'regular'
b'388324634',b'highway',b'traffic_signals',b'regular'
b'388350195',b'highway',b'turning_circle',b'regular'
b'390999925',b'name',b'Fleggaard',b'regular'
b'390999925',b'shop',b'supermarket',b'regular'
b'402607486',b'highway',b'turning_circle',b'regular'
b'408217682',b'name',b'Ruderklub Flensburg',b'regular'
b'408217682',b'sport',b'canoe',b'regular'
b'409751892',b'entrance',b'yes',b'regular'
b'410250107',b'city',b'Flensburg',b'addr'
b'410250107',b'country',b'DE',b'addr'
b'410250107',b'housenumber',b'60',b'addr'
b'410250107',b'postcode',b'24937',b'addr'
b'410250107',b'street',b'Friesische Stra\xc3\x9fe',b'addr'
b'410250107',b'amenity',b'pharmacy',b'addr'
b'410250107',b'dispensing',b'yes',b'addr'
b'410250107',b'name',b'Apotheke an der Exe',b'addr'
b'410250107',b'opening_hours',"b'Mo-Tu 08:00-13:00,14:30-18:00; We 08:00-13:00; Th-Fr 08:00-13:00,14:30-18:00; Sa 09:00-13:00'",b'addr'
b'410250107',b'phone',b'+49 461 57700',b'addr'
b'410250107',b'wheelchair',b'yes',b'addr'
b'413488718',b'highway',b'turning_circle',b'regular'
b'431516306',b'amenity',b'parking',b'regular'
b'441133682',b'name',b'Klein Tastrup',b'regular'
b'441133682',b'traffic_sign',b'city_limit',b'regular'
b'441291622',b'barrier',b'gate',b'regular'
b'441291622',b'foot',b'yes',b'regular'
b'441641626',b'barrier',b'gate',b'regular'
b'442496560',b'amenity',b'fast_food',b'regular'
b'442496560',b'name',b'Imbiss',b'regular'
b'442650577',b'highway',b'turning_circle',b'regular'
b'442957822',b'name',b'Padborg',b'regular'
b'442957822',b'de',b'Pattburg Bahnhof',b'name'
b'442957822',b'en',b'Padborg Station',b'name'
b'442957822',b'nl',b'Station Padborg',b'name'
b'442957822',b'no',b'Padborg stasjon',b'name'
b'442957822',b'public_transport',b'station',b'name'
b'442957822',b'railway',b'station',b'name'
b'442957822',b'ref:DB',b'XDPA',b'railway'
b'442957822',b'uic_name',b'Padborg st',b'railway'
b'442957822',b'uic_ref',b'8601899',b'railway'
b'442957822',b'wikidata',b'Q1965072',b'railway'
b'442957822',b'wikipedia',b'da:Padborg Station',b'railway'
b'443445117',b'buoy',b'lateral_starboard',b'regular'
b'443445117',b'colour',b'green',b'buoy'
b'443445117',b'light',b'yes',b'buoy'
b'443445117',b'name',b'15',b'buoy'
b'443445117',b'seamark',b'buoy',b'buoy'
b'443445117',b'buoy_lateral:category',b'starboard',b'seamark'
b'443445117',b'buoy_lateral:colour',b'green',b'seamark'
b'443445117',b'buoy_lateral:shape',b'pillar',b'seamark'
b'443445117',b'buoy_lateral:system',b'iala-a',b'seamark'
b'443445117',b'light:colour',b'green',b'seamark'
b'443445117',b'name',b'15',b'seamark'
b'443445117',b'type',b'buoy_lateral',b'seamark'
b'444993693',b'city',b'Flensburg',b'addr'
b'444993693',b'country',b'DE',b'addr'
b'444993693',b'housenumber',b'50',b'addr'
b'444993693',b'postcode',b'24939',b'addr'
b'444993693',b'street',b'Schiffbr\xc3\xbccke',b'addr'
b'444993693',b'amenity',b'nightclub',b'addr'
b'444993693',b'name',b'MAXdisco',b'addr'
b'444993693',b'old_name',b'Tower',b'addr'
b'444993693',b'wheelchair',b'yes',b'addr'
b'448895476',b'barrier',b'gate',b'regular'
b'448895476',b'foot',b'yes',b'regular'
b'457462956',b'amenity',b'telephone',b'regular'
b'457462956',b'operator',b'Deutsche Telekom AG',b'regular'
b'469777092',b'highway',b'turning_circle',b'regular'
b'471790512',b'amenity',b'taxi',b'regular'
b'492315714',b'highway',b'bus_stop',b'regular'
b'492315714',b'name',b'Hafendamm',b'regular'
b'492315714',b'public_transport',b'platform',b'regular'
b'492315714',b'ref',"b'3,5,21'",b'regular'
b'492315714',b'wheelchair',b'yes',b'regular'
b'492315947',b'highway',b'bus_stop',b'regular'
b'492315947',b'name',b'Osterallee',b'regular'
b'492315947',b'public_transport',b'platform',b'regular'
b'492315947',b'ref',"b'3,7,21'",b'regular'
b'492315947',b'shelter',b'yes',b'regular'
b'492315947',b'wheelchair',b'yes',b'regular'
b'495316917',b'amenity',b'bench',b'regular'
b'497113573',b'highway',b'turning_circle',b'regular'
b'517612630',b'crossing',b'traffic_signals',b'regular'
b'517612630',b'highway',b'traffic_signals',b'regular'
b'518470449',b'city',b'Munkbrarup',b'addr'
b'518470449',b'country',b'DE',b'addr'
b'518470449',b'housenumber',b'6',b'addr'
b'518470449',b'postcode',b'24960',b'addr'
b'518470449',b'street',b'Auberg',b'addr'
b'518470449',b'man_made',b'windmill',b'addr'
b'518470449',b'name',b'Hoffnung',b'addr'
b'518470449',b'website',b'www.muehle-hoffnung.de',b'addr'
b'518470533',b'barrier',b'gate',b'regular'
b'518470533',b'foot',b'yes',b'regular'
b'524475135',b'highway',b'turning_circle',b'regular'
b'541415579',b'amenity',b'vending_machine',b'regular'
b'541415579',b'check_date',b'2017-03-22',b'regular'
b'541415579',b'operator',b'Deutsche Post',b'regular'
b'541415579',b'vending',b'stamps',b'regular'
b'556069048',b'access',b'private',b'regular'
b'556069048',b'barrier',b'gate',b'regular'
b'556084584',b'name',b'H\xc3\xbcrup',b'regular'
b'556084584',b'traffic_sign',b'city_limit',b'regular'
b'556093358',b'amenity',b'telephone',b'regular'
b'556093358',b'operator',b'Deutsche Telekom AG',b'regular'
b'571871059',b'city',b'Flensburg',b'addr'
b'571871059',b'country',b'DE',b'addr'
b'571871059',b'housenumber',b'31',b'addr'
b'571871059',b'postcode',b'24941',b'addr'
b'571871059',b'street',b'Lise-Meitner-Stra\xc3\x9fe',b'addr'
b'571871059',b'amenity',b'fuel',b'addr'
b'571871059',b'lpg',b'yes',b'fuel'
b'571871059',b'name',b'Wiking Tank & Wasch',b'fuel'
b'571871059',b'wheelchair',b'yes',b'fuel'
b'598737963',b'railway',b'switch',b'regular'
b'611352885',b'amenity',b'fuel',b'regular'
b'611352885',b'branch',b'Padborg',b'regular'
b'611352885',b'name',b'Statoil',b'regular'
b'632415787',b'highway',b'bus_stop',b'regular'
b'632415787',b'name',"b'Weding, Schulstra\xc3\x9fe'",b'regular'
b'632415787',b'public_transport',b'platform',b'regular'
b'632415787',b'shelter',b'yes',b'regular'
b'632415787',b'wheelchair',b'yes',b'regular'
b'654163454',b'amenity',b'telephone',b'regular'
b'654163454',b'operator',b'Deutsche Telekom AG',b'regular'
b'654163454',b'coins',b'yes',b'payment'
b'655313104',b'amenity',b'post_box',b'regular'
b'655313104',b'collection_times',b'Mo-Fr 15:30; Sa 10:45',b'regular'
b'655313104',b'operator',b'Deutsche Post AG',b'regular'
b'655320268',b'amenity',b'telephone',b'regular'
b'655320268',b'operator',b'Deutsche Telekom AG',b'regular'
b'655320268',b'coins',b'yes',b'payment'
b'656150089',b'city',b'Flensburg',b'addr'
b'656150089',b'country',b'DE',b'addr'
b'656150089',b'housenumber',b'7',b'addr'
b'656150089',b'postcode',b'24939',b'addr'
b'656150089',b'street',b'Meiereistra\xc3\x9fe',b'addr'
b'656150089',b'amenity',b'place_of_worship',b'addr'
b'656150089',b'name',b'D\xc4\xb0T\xc4\xb0B Fatih Moschee',b'addr'
b'656150089',b'religion',b'muslim',b'addr'
b'656150089',b'wheelchair',b'limited',b'addr'
b'656188331',b'amenity',b'recycling',b'regular'
b'656188331',b'clothes',b'yes',b'recycling'
b'656188331',b'glass',b'yes',b'recycling'
b'656188331',b'recycling_type',b'container',b'recycling'
b'684531753',b'crossing',b'traffic_signals',b'regular'
b'684531753',b'highway',b'traffic_signals',b'regular'
b'690682940',b'power',b'tower',b'regular'
b'690682953',b'power',b'tower',b'regular'
b'690682969',b'power',b'tower',b'regular'
b'690682983',b'power',b'tower',b'regular'
b'690683008',b'power',b'tower',b'regular'
b'690990227',b'power',b'tower',b'regular'
b'694544348',b'amenity',b'bench',b'regular'
b'694544348',b'backrest',b'yes',b'regular'
b'694544348',b'colour',b'gray',b'regular'
b'694544348',b'material',b'wood',b'regular'
b'694544348',b'seats',b'4',b'regular'
b'700422669',b'amenity',b'bench',b'regular'
b'700422669',b'backrest',b'yes',b'regular'
b'700422669',b'colour',b'brown',b'regular'
b'700422669',b'material',b'wood',b'regular'
b'700422669',b'seats',b'4',b'regular'
b'710917978',b'amenity',b'bench',b'regular'
b'710917978',b'backrest',b'yes',b'regular'
b'710917978',b'colour',b'brown',b'regular'
b'710917978',b'material',b'wood',b'regular'
b'710917978',b'seats',b'4',b'regular'
b'738241736',b'emergency',b'phone',b'regular'
b'738241736',b'source',b'survey',b'regular'
b'741106234',b'barrier',b'gate',b'regular'
b'741106234',b'foot',b'yes',b'regular'
b'741106234',b'horse',b'yes',b'regular'
b'748141359',b'amenity',b'bench',b'regular'
b'748141359',b'backrest',b'yes',b'regular'
b'748141359',b'colour',b'gray',b'regular'
b'748141359',b'material',b'wood',b'regular'
b'748141359',b'seats',b'3',b'regular'
b'766138052',b'name',b'Freienwill',b'regular'
b'766138052',b'traffic_sign',b'city_limit',b'regular'
b'771933965',b'city',b'Handewitt',b'addr'
b'771933965',b'country',b'DE',b'addr'
b'771933965',b'housenumber',b'26',b'addr'
b'771933965',b'postcode',b'24976',b'addr'
b'771933965',b'street',b'Stadtweg',b'addr'
b'771933965',b'suburb',b'Jarplund-Weding',b'addr'
b'771934029',b'city',b'Handewitt',b'addr'
b'771934029',b'country',b'DE',b'addr'
b'771934029',b'housenumber',b'23',b'addr'
b'771934029',b'postcode',b'24976',b'addr'
b'771934029',b'street',b'Wiesengrund',b'addr'
b'771934029',b'suburb',b'Jarplund-Weding',b'addr'
b'771934114',b'city',b'Handewitt',b'addr'
b'771934114',b'country',b'DE',b'addr'
b'771934114',b'housenumber',b'16',b'addr'
b'771934114',b'postcode',b'24976',b'addr'
b'771934114',b'street',b'Stadtweg',b'addr'
b'771934114',b'suburb',b'Jarplund-Weding',b'addr'
b'792452862',b'highway',b'traffic_signals',b'regular'
b'793152033',b'name',b'Teckenburg Tabak/Lotto',b'regular'
b'793152033',b'shop',b'kiosk',b'regular'
b'793152033',b'wheelchair',b'yes',b'regular'
b'793210291',b'amenity',b'restaurant',b'regular'
b'793210291',b'cuisine',b'chinese',b'regular'
b'793210291',b'name',b'Fulio Asia Snack',b'regular'
b'793210291',b'wheelchair',b'yes',b'regular'
b'793222469',b'name',b'mister*lady',b'regular'
b'793222469',b'shop',b'clothes',b'regular'
b'793222469',b'wheelchair',b'yes',b'regular'
b'793241040',b'name',b'Ganesha',b'regular'
b'793241040',b'shop',b'clothes',b'regular'
b'793241040',b'wheelchair',b'yes',b'regular'
b'793249230',b'name',b'Photo Dose',b'regular'
b'793249230',b'shop',b'photo',b'regular'
b'812143605',b'entrance',b'yes',b'regular'
b'823660778',b'crossing',b'traffic_signals',b'regular'
b'823660778',b'crossing_ref',b'pelican',b'regular'
b'823660778',b'highway',b'traffic_signals',b'regular'
b'823660778',b'segregated',b'no',b'regular'
b'823660778',b'sloped_curb',b'both',b'regular'
b'823660778',b'sound',b'no',b'traffic_signals'
b'823660778',b'vibration',b'no',b'traffic_signals'
b'829423880',b'barrier',b'gate',b'regular'
b'829423880',b'bicycle',b'yes',b'regular'
b'829423880',b'foot',b'yes',b'regular'
b'836182946',b'highway',b'turning_circle',b'regular'
b'849935913',b'amenity',b'bicycle_rental',b'regular'
b'849935913',b'capacity',b'5',b'regular'
b'849935913',b'name',b'Dr.-Todsen-Stra\xc3\x9fe/Ecke Angelburger Stra\xc3\x9fe',b'regular'
b'849935913',b'network',b'nextbike',b'regular'
b'849935913',b'operator',b'Stadtwerke Flensburg (Klimapakt Flensburg e.V.)',b'regular'
b'849935913',b'wheelchair',b'yes',b'regular'
b'855657282',b'access',b'private',b'regular'
b'855657282',b'barrier',b'gate',b'regular'
b'855657337',b'highway',b'turning_circle',b'regular'
b'858192527',b'amenity',b'bench',b'regular'
b'858192527',b'backrest',b'yes',b'regular'
b'868526069',b'leisure',b'sports_centre',b'regular'
b'868526069',b'name',b'Sportzentrum Europa-Universit\xc3\xa4t Flensburg',b'regular'
b'868526069',b'wheelchair',b'yes',b'regular'
b'880800610',b'historic',b'memorial',b'regular'
b'880800610',b'image',b'http://upload.wikimedia.org/wikipedia/commons/2/25/Stolpersteine_Flensburg_Fertig.jpg',b'regular'
b'880800610',b'addr',"b'Norderstr. 145, Flensburg'",b'memorial'
b'880800610',b'name',"b'Sara Fertig, geb. Goldberg'",b'memorial'
b'880800610',b'text',b'Hier wohnte Sara Fertig Geb. Goldberg Jg. 1893 Deportiert Richtung Osten Ermordet',b'memorial'
b'880800610',b'type',b'stolperstein',b'memorial'
b'880831098',b'historic',b'memorial',b'regular'
b'880831098',b'image',b'http://upload.wikimedia.org/wikipedia/commons/4/4a/Stolperstein_Flensburg_Wartelsky.jpg',b'regular'
b'880831098',b'addr',"b'Burgstr. 6, Flensburg'",b'memorial'
b'880831098',b'name',b'Louis Wartelsky',b'memorial'
b'880831098',b'text',b'Hier wohnte Louis Wartelsky Jg. 1879 Selbstmord 1938 im Polizeipr\xc3\xa4sidium Flensburg',b'memorial'
b'880831098',b'type',b'stolperstein',b'memorial'
b'896797782',b'highway',b'bus_stop',b'regular'
b'896797782',b'ref',b'1569',b'regular'
b'903182748',b'barrier',b'half',b'crossing'
b'903182748',b'bell',b'yes',b'crossing'
b'903182748',b'light',b'yes',b'crossing'
b'903182748',b'railway',b'level_crossing',b'crossing'
b'903182748',b'position',b'165.1',b'railway'
b'957740358',b'city',b'Padborg',b'addr'
b'957740358',b'country',b'DK',b'addr'
